state,date,cumulative fatalities ,deaths,fips,cases
Michigan,8/3/2020,6470,10,26,92503
Michigan,8/4/2020,6474,4,26,93293
Michigan,8/5/2020,6480,6,26,94045
Michigan,8/6/2020,6508,28,26,94819
Michigan,8/7/2020,6527,19,26,95632
Michigan,8/8/2020,6521,-6,26,96328
Michigan,8/9/2020,6520,-1,26,96835
Michigan,8/10/2020,6527,7,26,97472
Michigan,8/11/2020,6534,7,26,98361
Michigan,8/12/2020,6541,7,26,98825
Michigan,8/13/2020,6556,15,26,99963
Michigan,8/14/2020,6567,11,26,100813
Michigan,8/15/2020,6586,19,26,101831
Michigan,8/16/2020,6592,6,26,102323
Michigan,8/17/2020,6592,0,26,102872
Michigan,8/18/2020,6607,15,26,103527
Michigan,8/19/2020,6619,12,26,104235
Michigan,8/20/2020,6636,17,26,104771
Michigan,8/21/2020,6637,1,26,104829
Michigan,8/22/2020,6657,20,26,106141
Michigan,8/23/2020,6661,4,26,106875
Michigan,8/24/2020,6665,4,26,107816
Michigan,8/25/2020,6687,22,26,108742
Michigan,8/26/2020,6692,5,26,109645
Michigan,8/27/2020,6708,16,26,110491
Michigan,8/28/2020,6714,6,26,111303
Michigan,8/29/2020,6747,33,26,112104
Michigan,8/30/2020,6750,3,26,112598
Michigan,8/31/2020,6756,6,26,113163
Michigan,9/1/2020,6770,14,26,113969
Michigan,9/2/2020,6783,13,26,114603
Michigan,9/3/2020,6794,11,26,115393
Michigan,9/4/2020,6802,8,26,116470
Michigan,9/5/2020,6809,7,26,117267
Michigan,9/6/2020,6809,0,26,117310
Michigan,9/7/2020,6813,4,26,118388
Michigan,9/8/2020,6814,1,26,118984
Michigan,9/9/2020,6889,75,26,119952
Michigan,9/10/2020,6894,5,26,120896
Michigan,9/11/2020,6900,6,26,122319
Michigan,9/12/2020,6912,12,26,123048
Michigan,9/13/2020,6912,0,26,123075
Michigan,9/14/2020,6922,10,26,124276
Michigan,9/15/2020,6933,11,26,124978
Michigan,9/16/2020,6944,11,26,125782
Michigan,9/17/2020,6956,12,26,126794
Michigan,9/18/2020,6955,-1,26,127558
Michigan,9/19/2020,6970,15,26,128112
Michigan,9/20/2020,6971,1,26,128148
Michigan,9/21/2020,6982,11,26,129655
Michigan,9/22/2020,6998,16,26,130406
Michigan,9/23/2020,7013,15,26,131292
Michigan,9/24/2020,7020,7,26,132400
Michigan,9/25/2020,7028,8,26,133443
Michigan,9/26/2020,7044,16,26,134372
Michigan,9/27/2020,7044,0,26,134409
Michigan,9/28/2020,7052,8,26,135782
Michigan,9/29/2020,7073,21,26,136899
Michigan,9/30/2020,7084,11,26,138074
Michigan,10/1/2020,7103,19,26,139064
Michigan,10/2/2020,7110,7,26,140057
Michigan,10/3/2020,7125,15,26,141236
Michigan,10/4/2020,7125,0,26,141287
Michigan,10/5/2020,7141,16,26,142757
Michigan,10/6/2020,7163,22,26,143901
Michigan,10/7/2020,7171,8,26,145131
Michigan,10/8/2020,7194,23,26,146548
Michigan,10/9/2020,7202,8,26,147880
